"isxn"	"titulo17"	"q17"
"19814763"	"ACADEMIA - REVISTA DE DIVULGAÇÃO CIENTÍFICA EM CIÊNCIAS JURÍDICAS E SOCIAIS"	"C"
"16763769"	"ACADEMIA (ACADEMIA DE CIÊNCIAS SOCIAIS DO CEARÁ)"	"C"
"10128255"	"ACADEMIA (CARACAS)"	"A3"
"22411402"	"ACADEMIA (ONLINE)"	"B4"
"23157739"	"ACADEMIA JOURNAL OF AGRICULTURAL RESEARCH"	"B4"
"23157747"	"ACADEMIA JOURNAL OF BIOTECHNOLOGY"	"C"
"23157704"	"ACADEMIA JOURNAL OF EDUCATIONAL RESEARCH"	"C"
"2315778X"	"ACADEMIA JOURNAL OF ENVIRONMENTAL SCIENCE"	"C"
"23157720"	"ACADEMIA JOURNAL OF MEDICINAL PLANTS"	"C"
"23157771"	"ACADEMIA JOURNAL OF MICROBIOLOGY RESEARCH"	"C"
"23157712"	"ACADEMIA JOURNAL OF SCIENTIFIC RESEARCH"	"C"
"10696563"	"ACADEMIC EMERGENCY MEDICINE"	"A1"
"22813993"	"ACADEMIC JOURNAL OF INTERDISCIPLINARY STUDIES"	"B4"
"24747521"	"ACADEMIC JOURNAL OF PEDIATRICS E NEONATOLOGY"	"C"
"20793456"	"ACADEMIC JOURNAL OF SURINAME"	"B4"
"10402446"	"ACADEMIC MEDICINE"	"A1"
"18762859"	"ACADEMIC PEDIATRICS (PRINT)"	"A2"
"10429670"	"ACADEMIC PSYCHIATRY"	"A2"
"10766332"	"ACADEMIC RADIOLOGY"	"A3"
"23181494"	"ACADÊMICO MUNDO"	"B3"
"16310691"	"ACADEMIE DES SCIENCES. COMPTES RENDUS. BIOLOGIES"	"A2"
"18069495"	"ACADEMUS: REVISTA CIENTÍFICA DA SAÚDE"	"B4"
"15282686"	"ACADEMY OF ENTREPRENEURSHIP JOURNAL"	"A4"
"00014265"	"ACADEMY OF GENERAL DENTISTRY"	"C"
"21516561"	"ACADEMY OF MANAGEMENT ANNUAL MEETING PROCEEDINGS"	"B4"
"15438643"	"ACADEMY OF MANAGEMENT PROCEEDINGS"	"NP"
"10956298"	"ACADEMY OF MARKETING STUDIES JOURNAL"	"A4"
"19396104"	"ACADEMY OF STRATEGIC MANAGEMENT JOURNAL"	"B1"
"23586559"	"ACANTO EM REVISTA"	"B4"
"15197859"	"AÇÃO ERGONÔMICA"	"C"
"22380701"	"AÇÃO MIDIÁTICA - ESTUDOS EM COMUNICAÇÃO, SOCIEDADE E CULTURA"	"B2"
"01328077"	"ACARINA: RUSSIAN JOURNAL OF ACAROLOGY"	"B1"
"0044586X"	"ACAROLOGIA (LA VARENNE-SUR-SEINE)"	"B1"
"00014575"	"ACCIDENT ANALYSIS AND PREVENTION"	"A1"
"08105391"	"ACCOUNTING AND FINANCE (PARKVILLE. PRINT)"	"A2"
"1541115X"	"ACCOUNTING DEPARTMENT MANAGEMENT REPORT"	"C"
"09639284"	"ACCOUNTING EDUCATION: AN INTERNATIONAL JOURNAL"	"A2"
"01559982"	"ACCOUNTING FORUM (ADELAIDE. PRINT)"	"A2"
"10686452"	"ACCOUNTING TECHNOLOGY"	"NP"
"09513574"	"ACCOUNTING, AUDITING & ACCOUNTABILITY JOURNAL"	"A1"
"00014842"	"ACCOUNTS OF CHEMICAL RESEARCH"	"A1"
"09491775"	"ACCREDITATION AND QUALITY ASSURANCE"	"B2"
"16781899"	"ACDC EM AÇÃO (ONLINE)"	"C"
"16974123"	"ACE (BARCELONA. INTERNET)"	"C"
"23585587"	"ACENO - REVISTA DE ANTROPOLOGIA DO CENTRO-OESTE"	"A3"
"22378723"	"ACERVO: REVISTA DO ARQUIVO NACIONAL"	"A3"
"23190698"	"ACESSO LIVRE"	"B1"
"23263253"	"ACG CASE REPORTS JOURNAL"	"B1"
"03299147"	"ACHERONTA (EN LÍNEA)"	"B4"
"23185724"	"ACHIOTE.COM ¿ REVISTA ELETRÔNICA DE MODA"	"B3"
"0889325X"	"ACI MATERIALS JOURNAL"	"A2"
"08893241"	"ACI STRUCTURAL JOURNAL"	"A3"
"03600300"	"ACM COMPUTING SURVEYS"	"A1"
"21532184"	"ACM INROADS"	"B2"
"15579441"	"ACM JOURNAL OF COMPUTER DOCUMENTATION (ONLINE)"	"C"
"15504832"	"ACM JOURNAL ON EMERGING TECHNOLOGIES IN COMPUTING SYSTEMS"	"A3"
"00978418"	"ACM SIGCSE BULLETIN"	"C"
"19367228"	"ACM TRANSACTIONS ON ACCESSIBLE COMPUTING (TACCESS)"	"A3"
"15443566"	"ACM TRANSACTIONS ON ARCHITECTURE AND CODE OPTIMIZATION"	"A3"
"15564665"	"ACM TRANSACTIONS ON AUTONOMOUS AND ADAPTIVE SYSTEMS"	"A2"
"07342071"	"ACM TRANSACTIONS ON COMPUTER SYSTEMS"	"A1"
"19466226"	"ACM TRANSACTIONS ON COMPUTING EDUCATION"	"A1"
"10844309"	"ACM TRANSACTIONS ON DESIGN AUTOMATION OF ELECTRONIC SYSTEMS"	"A4"
"15399087"	"ACM TRANSACTIONS ON EMBEDDED COMPUTING SYSTEMS"	"A4"
"07300301"	"ACM TRANSACTIONS ON GRAPHICS"	"A1"
"10468188"	"ACM TRANSACTIONS ON INFORMATION SYSTEMS"	"A1"
"15335399"	"ACM TRANSACTIONS ON INTERNET TECHNOLOGY"	"A2"
"15564681"	"ACM TRANSACTIONS ON KNOWLEDGE DISCOVERY FROM DATA"	"A1"
"23763639"	"ACM TRANSACTIONS ON MODELING AND PERFORMANCE EVALUATION OF COMPUTING SYSTEMS"	"B3"
"15516857"	"ACM TRANSACTIONS ON MULTIMEDIA COMPUTING COMMUNICATIONS AND APPLICATIONS"	"A2"
"24712566"	"ACM TRANSACTIONS ON PRIVACY AND SECURITY"	"B4"
"1049331X"	"ACM TRANSACTIONS ON SOFTWARE ENGINEERING AND METHODOLOGY"	"A2"
"15591131"	"ACM TRANSACTIONS ON THE WEB"	"A2"
"25740970"	"ACS  APPLIED NANO MATERIALS"	"C"
"25766422"	"ACS APPLIED BIO MATERIALS"	"B3"
"25740962"	"ACS APPLIED ENERGY MATERIALS"	"B4"
"19448252"	"ACS APPLIED MATERIALS & INTERFACES (ONLINE)"	"A1"
"42834293"	"ACS APPLIED NANO MATERIALS"	"B4"
"23739878"	"ACS BIOMATERIALS SCIENCE & ENGINNERING"	"A2"
"21555435"	"ACS CATALYSIS"	"A1"
"23747951"	"ACS CENTRAL SCIENCE (ONLINE)"	"A1"
"15548929"	"ACS CHEMICAL BIOLOGY"	"A1"
"15548937"	"ACS CHEMICAL BIOLOGY"	"A1"
"19487193"	"ACS CHEMICAL NEUROSCIENCE"	"A1"
"21568952"	"ACS COMBINATORIAL SCIENCE"	"A2"
"24723452"	"ACS EARTH AND SPACE CHEMISTRY"	"B4"
"23738227"	"ACS INFECTIOUS DISEASES"	"A1"
"21611653"	"ACS MACRO LETTERS"	"A1"
"19485875"	"ACS MED CHEM LETT"	"A2"
"19360851"	"ACS NANO"	"A1"
"24701343"	"ACS OMEGA"	"A3"
"23304022"	"ACS PHOTONICS"	"A2"
"23793694"	"ACS SENSORS"	"A1"
"21680485"	"ACS SUSTAINABLE CHEMISTRY & ENGINEERING"	"A1"
"21615063"	"ACS SYNTHETIC BIOLOGY"	"A1"
"13317768"	"ACS. AGRICULTURAE CONSPECTUS SCINTIFICUS (TISAK)"	"C"
"09064710"	"ACTA AGRICULTURAE SCANDINAVICA. SECTION B, SOIL AND PLANT SCIENCE"	"A4"
"01202812"	"ACTA AGRONOMICA"	"B4"
"01393006"	"ACTA ALIMENTARIA: AN INTERNATIONAL JOURNAL OF FOOD SCIENCE"	"C"
"18094392"	"ACTA AMAZONICA"	"B1"
"16777298"	"ACTA AMBIENTAL CATARINENSE"	"B1"
"11044446"	"ACTA AMERICANA (UPPSALA)"	"C"
"00015172"	"ACTA ANAESTHESIOLOGICA SCANDINAVICA"	"A3"
"03535150"	"ACTA ANALYTICA"	"A4"
"1234950X"	"ACTA ANGIOLOGICA"	"B4"
"23582375"	"ACTA APICOLA BRASILICA"	"B3"
"01678019"	"ACTA APPLICANDAE MATHEMATICAE"	"B1"
"00015202"	"ACTA ARACHNOLOGICA"	"B4"
"0065101X"	"ACTA ARCHAEOLOGICA (PAPIRFORM)"	"B1"
"00945765"	"ACTA ASTRONAUTICA"	"A1"
"00015237"	"ACTA ASTRONOMICA"	"A1"
"16729145"	"ACTA BIOCHIMICA ET BIOPHYSICA SINICA"	"A4"
"1726569X"	"ACTA BIOETHICA (EN LÍNEA)"	"B4"
"23583363"	"ACTA BIOLÓGICA CATARINENSE"	"C"
"0120548X"	"ACTA BIOLOGICA COLOMBIANA"	"B1"
"03012123"	"ACTA BIOLÓGICA PARANAENSE"	"C"
"17427061"	"ACTA BIOMATERIALIA"	"A1"
"23337931"	"ACTA BIOMATERIALIA ODONTOLOGICA SCANDINAVICA"	"C"
"22360867"	"ACTA BIOMEDICA BRASILIENSIA"	"B1"
"03252957"	"ACTA BIOQUÍMICA CLÍNICA LATINOAMERICANA"	"B4"
"00015342"	"ACTA BIOTHEORETICA"	"A2"
"1677941X"	"ACTA BOTANICA BRASILICA"	"B1"
"01386824"	"ACTA BOTANICA CUBANA"	"C"
"02109506"	"ACTA BOTÁNICA MALACITANA"	"C"
"25264338"	"ACTA BRASILIENSIS"	"B1"
"2526432X"	"ACTA BRASILIENSIS"	"B1"
"00015385"	"ACTA CARDIOLOGICA (IMPRIMÉ)"	"B2"
"05836050"	"ACTA CARSOLOGICA"	"B1"
"13180207"	"ACTA CHIMICA SLOVENICA (PRINT ED.)"	"B1"
"15081109"	"ACTA CHIROPTEROLOGICA"	"A3"
"17335329"	"ACTA CHIROPTEROLOGICA (ONLINE)"	"A3"
"12332356"	"ACTA CHROMATOGRAPHICA"	"B2"
"02537338"	"ACTA CIENCIA INDICA. CHEMISTRY"	"B2"
"19840918"	"ACTA CIENTÍFICA (PATOS DE MINAS)"	"B4"
"22362622"	"ACTA CIENTÍFICA (UNASP. ONLINE)"	"C"
"15199800"	"ACTA CIENTÍFICA. CIÊNCIAS HUMANAS"	"B4"
"16782674"	"ACTA CIRÚRGICA BRASILEIRA (ONLINE)"	"B1"
"19099711"	"ACTA COLOMBIANA DE PSICOLOGIA"	"A3"
"01888145"	"ACTA COMPORTAMENTALIA"	"A3"
"20532733"	"ACTA CRYSTALLOGRAPHICA A - FOUNDATION AND ADVANCES"	"A2"
"20525206"	"ACTA CRYSTALLOGRAPHICA SECTION B"	"A1"
"20532296"	"ACTA CRYSTALLOGRAPHICA SECTION C: STRUCTURAL CHEMISTRY"	"A3"
"20569890"	"ACTA CRYSTALLOGRAPHICA SECTION E, CRYSTALLOGRAPHIC COMMUNICATIONS"	"B4"
"01087673"	"ACTA CRYSTALLOGRAPHICA. SECTION A, FOUNDATIONS OF CRYSTALLOGRAPHY"	"A2"
"16005368"	"ACTA CRYSTALLOGRAPHICA. SECTION E"	"C"
"2053230X"	"ACTA CRYSTALLOGRAPHICA. SECTION F: STRUCTURAL BIOLOGY COMMUNICATIONS"	"B2"
"00015547"	"ACTA CYTOLOGICA"	"B1"
"19382650"	"ACTA CYTOLOGICA"	"B1"
"26052202"	"ACTA DE LAS JORNADAS CIENTÍFICAS DE LA ASOCIACIÓN METEOROLÓGICA ESPAÑOLA"	"C"
"00015555"	"ACTA DERMATO-VENEREOLOGICA"	"A2"
"1330027X"	"ACTA DERMATOVENEROLOGICA CROATICA"	"B2"
"09405429"	"ACTA DIABETOLOGICA (PRINT)"	"A2"
"20651430"	"ACTA DIDACTICA NAPOCENSIA"	"A3"
"03741036"	"ACTA ENTOMOLOGICA MUSEI NATIONALIS PRAGAE"	"B1"
"14379546"	"ACTA ETHOLOGICA (INTERNET)"	"A3"
"21823340"	"ACTA FARMACEUTICA PORTUGUESA"	"C"
"01047795"	"ACTA FISIATRICA"	"A3"
"23170190"	"ACTA FISIÁTRICA"	"A3"
"03009033"	"ACTA GASTROENTEROLÓGICA LATINOAMERICANA"	"B3"
"19805772"	"ACTA GEOGRÁFICA (UFRR)"	"A2"
"00015709"	"ACTA GEOLOGICA POLONICA"	"B1"
"18956572"	"ACTA GEOPHYSICA (DRUK)"	"B1"
"18611125"	"ACTA GEOTECHNICA (BERLIN. PRINT)"	"A2"
"00015792"	"ACTA HAEMATOLOGICA"	"B2"
"18279635"	"ACTA HERPETOLOGICA"	"A4"
"00651281"	"ACTA HISTOCHEMICA (PRINT)"	"A4"
"24066168"	"ACTA HORTICULTURAE"	"B4"
"05677572"	"ACTA HORTICULTURAE"	"B4"
"01371592"	"ACTA ICHTHYOLOGICA ET PISCATORIA"	"B2"
"23164093"	"ACTA IGUAZU"	"B4"
"2221870X"	"ACTA IMEKO"	"B2"
"24486469"	"ACTA LATINOAMERICANA DE MATEMATICA EDUCATIVA"	"B3"
"2179975X"	"ACTA LIMNOLOGICA BRASILIENSIA (ONLINE)"	"B1"
"07160909"	"ACTA LITERARIA (IMPRESA)"	"B1"
"25270257"	"ACTA LUDICA"	"C"
"13596454"	"ACTA MATERIALIA (OXFORD)"	"A1"
"00015962"	"ACTA MATHEMATICA"	"A1"
"02365294"	"ACTA MATHEMATICA HUNGARICA (PRINT)"	"B2"
"02529602"	"ACTA MATHEMATICA SCIENTIA"	"B2"
"00015970"	"ACTA MECHANICA"	"A2"
"25259350"	"ACTA MECHANÌCA ET MOBILITATEM (ONLINE)"	"C"
"01035037"	"ACTA MÉDICA (PORTO ALEGRE)"	"C"
"00446025"	"ACTA MEDICA IRANICA"	"A2"
"13358421"	"ACTA MEDICA MARTINIANA"	"C"
"0870399X"	"ACTA MÉDICA PORTUGUESA"	"A4"
"16460758"	"ACTA MÉDICA PORTUGUESA"	"A4"
"10067191"	"ACTA METALLURGICA SINICA"	"A2"
"02048809"	"ACTA MICROBIOLOGICA BULGARICA (IMPRESSO)"	"C"
"23179597"	"ACTA MSM"	"C"
"25947680"	"ACTA NEGÓCIOS"	"B4"
"00651400"	"ACTA NEUROBIOLOGIAE EXPERIMENTALIS (DRUK)"	"B1"
"00016268"	"ACTA NEUROCHIRURGICA"	"A3"
"03009009"	"ACTA NEUROLOGICA BELGICA"	"B2"
"00016314"	"ACTA NEUROLOGICA SCANDINAVICA"	"A2"
"00016322"	"ACTA NEUROPATHOLOGICA"	"A1"
"20515960"	"ACTA NEUROPATHOLOGICA COMMUNICATIONS"	"A1"
"16015215"	"ACTA NEUROPSYCHIATRICA"	"A3"
"00016349"	"ACTA OBSTETRICIA ET GYNECOLOGICA SCANDINAVICA"	"A3"
"18524834"	"ACTA ODONTOLOGICA LATINOAMERICANA"	"A4"
"15023850"	"ACTA ODONTOLOGICA SCANDINAVICA"	"A2"
"00016365"	"ACTA ODONTOLÓGICA VENEZOLANA"	"B4"
"1146609X"	"ACTA OECOLOGICA (MONTROUGE)"	"A3"
"1509409X"	"ACTA OF BIOENGINEERING AND BIOMECHANICS"	"B1"
"0284186X"	"ACTA ONCOLOGICA (STOCKHOLM)"	"A3"
"20277822"	"ACTA ONDONTOLÓGICA COLOMBIANA"	"B4"
"1755375X"	"ACTA OPHTHALMOLOGICA"	"A2"
"18098770"	"ACTA ORL"	"C"
"00016454"	"ACTA ORNITHOLOGICA"	"A4"
"17453674"	"ACTA ORTHOPAEDICA (PRINT)"	"A1"
"14137852"	"ACTA ORTOPÉDICA BRASILEIRA (IMPRESSO)"	"B3"
"00016489"	"ACTA OTO-LARYNGOLOGICA"	"A4"
"0392100X"	"ACTA OTORHINOLARYNGOLOGICA ITALICA"	"A4"
"21735735"	"ACTA OTORRINOLARINGOLOGICA (ENGLISH EDITION)"	"B4"
"00016519"	"ACTA OTORRINOLARINGOLÓGICA ESPAÑOLA"	"B2"
"08035253"	"ACTA PAEDIATRICA (OSLO)"	"A2"
"05677920"	"ACTA PALAEONTOLOGICA POLONICA"	"A2"
"12302821"	"ACTA PARASITOLOGICA"	"B3"
"01032100"	"ACTA PAULISTA DE ENFERMAGEM (UNIFESP. IMPRESSO)"	"A3"
"00016640"	"ACTA PEDIÁTRICA ESPAÑOLA"	"B1"
"13300075"	"ACTA PHARMACEUTICA"	"A4"
"22113835"	"ACTA PHARMACEUTICA SINICA B"	"A1"
"16714083"	"ACTA PHARMACOLOGICA SINICA"	"A2"
"05874246"	"ACTA PHYSICA POLONICA. A"	"B1"
"05874254"	"ACTA PHYSICA POLONICA. B"	"B1"
"18992358"	"ACTA PHYSICA POLONICA. B, PROCEEDINGS SUPPLEMENT"	"NP"
"01375881"	"ACTA PHYSIOLOGIAE PLANTARUM"	"A3"
"18611664"	"ACTA PHYSIOLOGIAE PLANTARUM"	"A3"
"17481716"	"ACTA PHYSIOLOGICA (ONLINE)"	"A1"
"0231424X"	"ACTA PHYSIOLOGICA HUNGARICA (PRINT)"	"B4"
"01853082"	"ACTA POÉTICA"	"A4"
"2448735X"	"ACTA POÉTICA (ONLINE)"	"A4"
"00016837"	"ACTA POLONIAE PHARMACEUTICA: DRUG RESEARCH"	"B1"
"12102709"	"ACTA POLYTECHNICA"	"B1"
"17858860"	"ACTA POLYTECHNICA HUNGARICA"	"B1"
"21835985"	"ACTA PORTUGUESA DE NUTRIÇÃO"	"C"
"00651583"	"ACTA PROTOZOOLOGICA (DRUK)"	"A3"
"25959867"	"ACTA PSICOSSOMÁTICA"	"C"
"00016896"	"ACTA PSIQUIÁTRICA Y PSICOLÓGICA DE AMÉRICA LATINA"	"A2"
"0001690X"	"ACTA PSYCHIATRICA SCANDINAVICA"	"A2"
"00016918"	"ACTA PSYCHOLOGICA"	"A3"
"24696676"	"ACTA PSYCHOPATHOLOGICA"	"B4"
"02841851"	"ACTA RADIOLOGICA (1987)"	"A4"
"0303464X"	"ACTA REUMATOLÓGICA PORTUGUESA"	"B3"
"25957651"	"ACTA SCIENTIAE ANATOMICA"	"C"
"23178957"	"ACTA SCIENTIAE ET TECHNICAE"	"B3"
"16799216"	"ACTA SCIENTIAE VETERINARIAE (ONLINE)"	"B1"
"16780345"	"ACTA SCIENTIAE VETERINARIAE (UFRGS. IMPRESSO)"	"B1"
"14156814"	"ACTA SCIENTIARUM (HUMAN AND SOCIAL SCIENCES)"	"C"
"16440730"	"ACTA SCIENTIARUM POLONORUM TECHNOLOGIA ALIMENTARIA"	"A4"
"16799275"	"ACTA SCIENTIARUM. AGRONOMY (IMPRESSO)"	"A4"
"18062636"	"ACTA SCIENTIARUM. ANIMAL SCIENCES"	"B2"
"1807863X"	"ACTA SCIENTIARUM. BIOLOGICAL SCIENCES (ONLINE)"	"B1"
"21785201"	"ACTA SCIENTIARUM. EDUCATION (ONLINE)"	"A2"
"16799291"	"ACTA SCIENTIARUM. HEALTH SCIENCES (IMPRESSO)"	"B2"
"16797361"	"ACTA SCIENTIARUM. HUMAN AND SOCIAL SCIENCES (IMPRESSO)"	"B4"
"19834675"	"ACTA SCIENTIARUM. LANGUAGE AND CULTURE (IMPRESSO)"	"B1"
"18062563"	"ACTA SCIENTIARUM. TECHNOLOGY (IMPRESSO)"	"B2"
"25814893"	"ACTA SCIENTIFIC DENTAL SCIENCES"	"C"
"25813226"	"ACTA SCIENTIFIC MICROBIOLOGY"	"C"
"25815423"	"ACTA SCIENTIFIC PHARMACEUTICAL SCIENCES"	"C"
"01024264"	"ACTA SEMIÓTICA ET LINGUÍSTICA"	"B3"
"01866028"	"ACTA SOCIOLOGICA"	"A1"
"00016993"	"ACTA SOCIOLOGICA (TRYKT UTG.)"	"A2"
"00017019"	"ACTA STOMATOLOGICA CROATICA"	"B3"
"12215872"	"ACTA TECHNICA NAPOCENSIS. SERIES APPLIED MATHEMATICS AND MECHANICS"	"C"
"1982422X"	"ACTA TECNOLÓGICA"	"B3"
"03279286"	"ACTA TOXICOLÓGICA ARGENTINA"	"A4"
"18513743"	"ACTA TOXICOLÓGICA ARGENTINA (ONLINE)"	"A4"
"0001706X"	"ACTA TROPICA"	"A1"
"00017132"	"ACTA UNIVERSITATIS CAROLINAE. GEOLOGICA"	"B2"
"23366052"	"ACTA UNIVERSITATIS CAROLINAE: KINANTHROPOLOGICA"	"C"
"02396661"	"ACTA UNIVERSITATIS WRATISLAVIENSIS. NIEMCOZNAWSTWO"	"C"
"05678315"	"ACTA VETERINARIA (BEOGRAD)"	"A4"
"19815484"	"ACTA VETERINARIA BRASILICA"	"B2"
"00017213"	"ACTA VETERINARIA BRNO (PRINT)"	"B1"
"17510147"	"ACTA VETERINARIA SCANDINAVICA (ONLINE)"	"A2"
"0001723X"	"ACTA VIROLOGICA (ENGLISH ED.)"	"B3"
"00017272"	"ACTA ZOOLOGICA (STOCKHOLM)"	"A4"
"00651729"	"ACTA ZOOLOGICA LILLOANA"	"C"
"13921657"	"ACTA ZOOLOGICA LITUANICA (SPAUSDINTA)"	"C"
"00651737"	"ACTA ZOOLÓGICA MEXICANA"	"B4"
"14636395"	"ACTA ZOOLOGICA ONLINE"	"A4"
"23578068"	"ACTAPESCA"	"C"
"18502032"	"ACTAS DE DISEÑO"	"B3"
"16889886"	"ACTAS DEL ¿ CONGRESO URUGUAYO DE EDUCACIÓN MATEMÁTICA"	"C"
"18083285"	"ACTAS DEL PIDEC"	"C"
"00017310"	"ACTAS DERMO-SIFILIOGRÁFICAS (ED. IMPRESA)"	"B2"
"11399287"	"ACTAS ESPANÕLAS DE PSIQUIATRÍA"	"A2"
"15782735"	"ACTAS ESPAÑOLAS DE PSIQUIATRÍA"	"A2"
